vol,low,high,open,close,move,lbl
3.47E-05,0.001643388,0.001510435,0.001523084,0.001598373,-3.20E-05,0
1.33E-05,0.001633123,0.001437034,0.001604842,0.001520216,-0.000218,0
1.10E-05,0.001563192,0.001344893,0.001526354,0.001463078,-0.000137,0
8.73E-06,0.001519244,0.001289453,0.001469272,0.00141275,-0.000196,0
8.38E-06,0.00145637,0.001247026,0.001417541,0.001352948,-8.00E-06,0
7.23E-06,0.001453804,0.001215532,0.001356,0.001378704,1.50E-05,0
8.74E-06,0.001458615,0.001211888,0.001383946,0.001365678,-3.60E-05,0
9.45E-06,0.001447067,0.001215011,0.001370568,0.001381961,0.000131,0
2.02E-05,0.00148909,0.001262383,0.001388406,0.001397947,-8.40E-05,0
1.35E-05,0.001462144,0.00123219,0.001403866,0.001366566,1.70E-05,0
6.00E-06,0.001467597,0.001227765,0.001369676,0.001392914,7.50E-05,0
1.26E-05,0.001491656,0.001391224,0.001399109,0.001563735,8.00E-06,0
3.30E-06,0.001494223,0.001416472,0.001569463,0.001392914,-2.30E-05,0
2.96E-06,0.001486845,0.001225162,0.001398811,0.001374855,9.00E-06,0
1.76E-06,0.001489732,0.001242081,0.001380973,0.001406829,0.000109,0
5.66E-06,0.001524697,0.001269151,0.001413677,0.001442947,0.000122,0
7.15E-06,0.001563833,0.00131444,0.00144965,0.001487058,5.60E-05,0
4.56E-06,0.001581797,0.001354524,0.001493651,0.001462782,-0.000185,0
4.91E-06,0.001522452,0.001304549,0.001467191,0.001417783,-3.90E-05,0
5.92E-06,0.001509941,0.001245985,0.001420217,0.001400316,2.00E-05,0
3.69E-06,0.001516357,0.001250931,0.001406541,0.001410677,-2.80E-05,0
1.08E-05,0.001507375,0.001250931,0.001417839,0.00141719,7.10E-05,0
5.81E-06,0.001530151,0.001269931,0.00142319,0.001428144,4.40E-05,0
3.80E-06,0.001544265,0.001269151,0.00143419,0.001442059,-6.60E-05,0
7.12E-06,0.001523093,0.001270452,0.001448758,0.001407125,-4.00E-06,0
7.38E-06,0.00152181,0.001266808,0.001413379,0.00143821,-2.40E-05,0
1.25E-05,0.001514111,0.001266808,0.001442812,0.001416302,7.00E-05,0
6.26E-06,0.001536566,0.001283206,0.001425271,0.001442355,1.00E-06,0
6.38E-06,0.001536887,0.001270452,0.001448461,0.001429032,-1.50E-05,0
